Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),New York JFK -  NY (Current $),New York JFK -  NY (Inflation-Adjusted $),New York LaGuardia -  NY (Current $),New York LaGuardia -  NY (Inflation-Adjusted $),Newark-Liberty -  NJ (Current $),Newark-Liberty -  NJ (Inflation-Adjusted $)
2005,3,307.31,393.46,292.12,374.01,293.57,375.87,391.6,501.37
2005,4,314.76,400.96,302.66,385.54,315,401.26,367.37,467.97
2006,1,323.34,409.67,307.69,389.85,312.62,396.09,372.55,472.03
2006,2,341.58,425.59,341.8,425.86,328.41,409.18,399.03,497.16
2006,3,328.55,407.07,324.75,402.36,313.54,388.48,382.01,473.31
2006,4,318.16,397.59,333.09,416.25,313.54,391.82,363.93,454.79
2007,1,317.84,393.07,332.72,411.47,319.76,395.44,370.59,458.29
2007,2,325.39,394.94,335.56,407.29,315.8,383.3,375.05,455.23
2007,3,325.26,393.7,345.97,418.77,315.52,381.92,386.48,467.8
2007,4,329.77,396.34,352.59,423.77,330.74,397.5,389.4,468
2008,1,333.29,396.07,366.99,436.12,344.59,409.49,401.17,476.74
2008,2,346.99,403.5,363.81,423.05,353.87,411.5,435.01,505.84
2008,3,346.38,398.15,368.08,423.1,353.32,406.13,450.5,517.83
2008,4,345.42,408.61,354.13,418.91,340.03,402.23,428.2,506.53
2009,1,313.82,373.08,325.86,387.4,315.83,375.47,379.93,451.67
2009,2,301.82,355.05,309.66,364.28,299.23,352.01,374.93,441.06
2009,3,310.35,362.62,317.81,371.35,290.85,339.84,379.91,443.9
2009,4,319.85,372.98,336.46,392.34,312.53,364.44,405.89,473.3
2010,1,328.12,381.08,343.94,399.46,318.09,369.43,422.87,491.13
2010,2,340.72,393.85,356.51,412.1,321.77,371.94,449.65,519.76
2010,3,336.09,388.13,359.22,414.84,316.6,365.62,468.51,541.06
2010,4,334.78,385.48,362.75,417.69,326.74,376.23,460.46,530.2
2011,1,355.72,404.48,383.18,435.7,348.99,396.83,469.82,534.23
2011,2,369.68,413.15,396.85,443.52,354.67,396.37,469.32,524.51
2011,3,363.85,404.98,387.2,430.97,340.59,379.09,467.03,519.83
2011,4,368.39,410.65,396.23,441.7,361.3,402.75,473.62,527.97
2012,1,372.83,410.28,394,433.57,367.13,404.01,470.74,518.02
2012,2,384.67,422.53,405.45,445.36,365.74,401.74,480.27,527.54
2012,3,374.77,408.86,388.28,423.6,333.49,363.83,471.62,514.52
2012,4,374.23,409.43,405.02,443.12,354.11,387.42,485.79,531.49
2013,1,377.93,411.06,418.4,455.07,359.24,390.73,485.79,528.37
2013,2,378,408.92,398.29,430.87,362.47,392.12,474.64,513.46
2013,3,382,411.69,417.14,449.56,371.16,400.01,491.37,529.57
2013,4,382.04,412.89,434.6,469.69,389.62,421.08,498.71,538.97
2014,1,382.15,409.89,430.55,461.8,383.06,410.87,482.12,517.11
2014,2,395.62,419.38,416.11,441.1,398.17,422.09,491.42,520.93
2014,3,391.7,414.75,441.71,467.7,398.08,421.5,505.77,535.53
2014,4,392.66,419.14,447.32,477.48,402.16,429.27,488.78,521.73
2015,1,388.32,416.76,439.3,471.48,387.34,415.71,473.22,507.88
2015,2,385.91,409.24,436,462.36,385.38,408.68,478.39,507.32
2015,3,371.72,393.16,430.84,455.7,357.1,377.7,478.87,506.49
2015,4,362.56,385.21,416.59,442.61,351.66,373.63,458.66,487.31
2016,1,361.2,383.51,402.53,427.4,336.43,357.22,449.14,476.89
2016,2,350.66,368.01,388.65,407.88,330.94,347.32,427.75,448.92
2016,3,343.98,359.8,394.96,413.13,320.41,335.14,427.9,447.58
2016,4,346.72,361.86,399.02,416.45,330.26,344.68,417.13,435.35
2017,1,351.85,364.33,383.59,397.2,312.21,323.29,390.52,404.38
2017,2,355.91,366.55,399.94,411.89,325.97,335.71,411.11,423.4
2017,3,335.83,344.5,384.01,393.92,298.25,305.95,392.33,402.46
2017,4,347.33,354.98,406.93,415.9,329.88,337.15,409.88,418.91
2018,1,346.49,351.01,397.54,402.73,320.45,324.64,407.59,412.91
2018,2,349.17,349.97,379.43,380.3,324.81,325.56,394.47,395.38
2018,3,343.28,343.09,375.59,375.38,320.03,319.84,394.44,394.21
2018,4,359.3,359.3,409.99,409.99,350.85,350.85,419.18,419.18
,,,,,,,,,
NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.,,,,,,,,,
SOURCE: Bureau of Transportation Statistics,,,,,,,,,
